Freq.	V(i_sns_pga)	V(v_sns_pga)
1.00000000000000e+01	(-5.16319438636334e+01dB,-9.00933617947140e+01°)	(4.29672535235870e+00dB,-9.22265465467496e-02°)
1.04712854805090e+01	(-5.12319369264804e+01dB,-9.00979347184968e+01°)	(4.29673340533602e+00dB,-9.67459632149203e-02°)
1.09647819614319e+01	(-5.08319296249096e+01dB,-9.01027187071385e+01°)	(4.29674016759287e+00dB,-1.01473941237160e-01°)
1.14815362149688e+01	(-5.04319236898614e+01dB,-9.01077228244519e+01°)	(4.29674625021847e+00dB,-1.06419396824618e-01°)
1.20226443461741e+01	(-5.00319181868912e+01dB,-9.01129577820026e+01°)	(4.29675121847980e+00dB,-1.11592928397927e-01°)
1.25892541179417e+01	(-4.96319139511029e+01dB,-9.01184343839557e+01°)	(4.29675632735553e+00dB,-1.17005208284341e-01°)
1.31825673855641e+01	(-4.92319096317739e+01dB,-9.01241642448935e+01°)	(4.29676082193295e+00dB,-1.22667711440809e-01°)
1.38038426460289e+01	(-4.88319063881893e+01dB,-9.01301589114120e+01°)	(4.29676439479322e+00dB,-1.28591854198877e-01°)
1.44543977074593e+01	(-4.84319025458353e+01dB,-9.01364309311350e+01°)	(4.29676675369419e+00dB,-1.34790030568349e-01°)
1.51356124843621e+01	(-4.80319004231533e+01dB,-9.01429939642163e+01°)	(4.29676947853040e+00dB,-1.41275740268942e-01°)
1.58489319246111e+01	(-4.76318982732984e+01dB,-9.01498613338373e+01°)	(4.29677117196512e+00dB,-1.48062117310566e-01°)
1.65958690743756e+01	(-4.72318970654151e+01dB,-9.01570474427224e+01°)	(4.29677216824948e+00dB,-1.55163444172488e-01°)
1.73780082874938e+01	(-4.68318962913225e+01dB,-9.01645676297831e+01°)	(4.29677300244867e+00dB,-1.62594860430398e-01°)
1.81970085860999e+01	(-4.64318965151679e+01dB,-9.01724379467760e+01°)	(4.29677333779378e+00dB,-1.70372194590956e-01°)
1.90546071796325e+01	(-4.60318965816571e+01dB,-9.01806742638614e+01°)	(4.29677354579881e+00dB,-1.78511152606861e-01°)
1.99526231496888e+01	(-4.56318972997731e+01dB,-9.01892946383768e+01°)	(4.29677224131738e+00dB,-1.87029582535278e-01°)
2.08929613085404e+01	(-4.52318993482371e+01dB,-9.01983170336946e+01°)	(4.29677086265730e+00dB,-1.95945229254226e-01°)
2.18776162394956e+01	(-4.48319013037449e+01dB,-9.02077604113786e+01°)	(4.29676867569841e+00dB,-2.05276821359897e-01°)
2.29086765276778e+01	(-4.44319034941906e+01dB,-9.02176448732485e+01°)	(4.29676539989116e+00dB,-2.15044245753451e-01°)
2.39883291901949e+01	(-4.40319067140656e+01dB,-9.02279913659251e+01°)	(4.29676218265858e+00dB,-2.25268185490645e-01°)
2.51188643150958e+01	(-4.36319119172509e+01dB,-9.02388219197203e+01°)	(4.29675893355144e+00dB,-2.35970397807234e-01°)
2.63026799189539e+01	(-4.32319161729759e+01dB,-9.02501593583345e+01°)	(4.29675427012115e+00dB,-2.47173456831583e-01°)
2.75422870333817e+01	(-4.28319214109503e+01dB,-9.02620270336415e+01°)	(4.29674812513145e+00dB,-2.58900378847942e-01°)
2.88403150312661e+01	(-4.24319264956213e+01dB,-9.02744513645708e+01°)	(4.29674241923720e+00dB,-2.71177404164839e-01°)
3.01995172040202e+01	(-4.20319350821262e+01dB,-9.02874573591075e+01°)	(4.29673522313344e+00dB,-2.84029065752386e-01°)
3.16227766016839e+01	(-4.16319428081833e+01dB,-9.03010735827247e+01°)	(4.29672720801925e+00dB,-2.97483744417484e-01°)
3.31131121482592e+01	(-4.12319522530851e+01dB,-9.03153283875091e+01°)	(4.29671786349909e+00dB,-3.11569350423440e-01°)
3.46736850452532e+01	(-4.08319621484953e+01dB,-9.03302521346669e+01°)	(4.29670774217296e+00dB,-3.26315938692539e-01°)
3.63078054770102e+01	(-4.04319733590004e+01dB,-9.03458766255041e+01°)	(4.29669664044377e+00dB,-3.41754930725840e-01°)
3.80189396320562e+01	(-4.00319852276972e+01dB,-9.03622347072159e+01°)	(4.29668435767356e+00dB,-3.57918778851261e-01°)
3.98107170553498e+01	(-3.96319992319868e+01dB,-9.03793613127080e+01°)	(4.29667042648297e+00dB,-3.74841985631250e-01°)
4.16869383470336e+01	(-3.92320144702510e+01dB,-9.03972919530061e+01°)	(4.29665541064763e+00dB,-3.92559632185823e-01°)
4.36515832240167e+01	(-3.88320315129908e+01dB,-9.04160661742175e+01°)	(4.29663809065042e+00dB,-4.11110823222279e-01°)
4.57088189614876e+01	(-3.84320503813306e+01dB,-9.04357218581305e+01°)	(4.29662065249272e+00dB,-4.30532926875121e-01°)
4.78630092322640e+01	(-3.80320708055005e+01dB,-9.04563022205679e+01°)	(4.29659921739117e+00dB,-4.50868813097612e-01°)
5.01187233627274e+01	(-3.76320930082437e+01dB,-9.04778505256955e+01°)	(4.29657633578492e+00dB,-4.72161001825481e-01°)
5.24807460249774e+01	(-3.72321178817212e+01dB,-9.05004125544331e+01°)	(4.29655161327321e+00dB,-4.94454914995935e-01°)
5.49540873857626e+01	(-3.68321440138348e+01dB,-9.05240349683558e+01°)	(4.29652464401927e+00dB,-5.17796563262224e-01°)
5.75439937337159e+01	(-3.64321745285054e+01dB,-9.05487695786449e+01°)	(4.29649540922082e+00dB,-5.42237151219297e-01°)
6.02559586074359e+01	(-3.60322082544209e+01dB,-9.05746668471478e+01°)	(4.29646121673516e+00dB,-5.67826545008382e-01°)
6.30957344480195e+01	(-3.56322437808450e+01dB,-9.06017832757876e+01°)	(4.29642584535397e+00dB,-5.94620521665068e-01°)
6.60693448007598e+01	(-3.52322834026534e+01dB,-9.06301768642110e+01°)	(4.29638649398187e+00dB,-6.22676587911246e-01°)
6.91830970918939e+01	(-3.48323273575400e+01dB,-9.06599061362835e+01°)	(4.29634168772005e+00dB,-6.52052396520892e-01°)
7.24435960074992e+01	(-3.44323747497815e+01dB,-9.06910338437841e+01°)	(4.29629497429418e+00dB,-6.82809963708475e-01°)
7.58577575029186e+01	(-3.40324273931825e+01dB,-9.07236278050433e+01°)	(4.29624196614235e+00dB,-7.15016387425483e-01°)
7.94328234724284e+01	(-3.36324845119607e+01dB,-9.07577557938430e+01°)	(4.29618443319027e+00dB,-7.48738496351958e-01°)
8.31763771102674e+01	(-3.32325470263028e+01dB,-9.07934900395061e+01°)	(4.29612120376876e+00dB,-7.84047814397829e-01°)
8.70963589956084e+01	(-3.28326166863053e+01dB,-9.08309071057800e+01°)	(4.29605196718201e+00dB,-8.21019939315142e-01°)
9.12010839355913e+01	(-3.24326926203525e+01dB,-9.08700851371574e+01°)	(4.29597643938046e+00dB,-8.59731917283925e-01°)
9.54992586021439e+01	(-3.20327755017982e+01dB,-9.09111089939237e+01°)	(4.29589317523188e+00dB,-9.00267871568528e-01°)
1.00000000000000e+02	(-3.16328674251431e+01dB,-9.09540635160628e+01°)	(4.29580157212253e+00dB,-9.42711407796973e-01°)
1.04712854805090e+02	(-3.12329664696953e+01dB,-9.09990404060044e+01°)	(4.29570141671723e+00dB,-9.87153260591347e-01°)
1.09647819614319e+02	(-3.08330769799167e+01dB,-9.10461347381155e+01°)	(4.29559149082350e+00dB,-1.03368737282473e+00°)
1.14815362149689e+02	(-3.04331964318153e+01dB,-9.10954461942395e+01°)	(4.29547175847752e+00dB,-1.08241221757767e+00°)
1.20226443461742e+02	(-3.00333296090617e+01dB,-9.11470798138066e+01°)	(4.29533963947636e+00dB,-1.13343145786559e+00°)
1.25892541179417e+02	(-2.96334736583759e+01dB,-9.12011444322952e+01°)	(4.29519453165168e+00dB,-1.18685296164789e+00°)
1.31825673855641e+02	(-2.92336315347434e+01dB,-9.12577545385144e+01°)	(4.29503530998394e+00dB,-1.24278951316086e+00°)
1.38038426460289e+02	(-2.88338063809496e+01dB,-9.13170287688081e+01°)	(4.29486119670308e+00dB,-1.30135838349640e+00°)
1.44543977074593e+02	(-2.84339963995086e+01dB,-9.13790938611484e+01°)	(4.29467025717465e+00dB,-1.36268495883691e+00°)
1.51356124843621e+02	(-2.80342054317773e+01dB,-9.14440808372395e+01°)	(4.29446197527284e+00dB,-1.42689858469839e+00°)
1.58489319246112e+02	(-2.76344345853859e+01dB,-9.15121260372081e+01°)	(4.29423275947433e+00dB,-1.49413392910827e+00°)
1.65958690743757e+02	(-2.72346855348577e+01dB,-9.15833734026425e+01°)	(4.29398074768281e+00dB,-1.56453339451644e+00°)
1.73780082874938e+02	(-2.68349614864828e+01dB,-9.16579734473390e+01°)	(4.29370493728018e+00dB,-1.63824544710115e+00°)
1.81970085860999e+02	(-2.64352630637434e+01dB,-9.17360850686551e+01°)	(4.29340295559177e+00dB,-1.71542749614530e+00°)
1.90546071796326e+02	(-2.60355942457373e+01dB,-9.18178713881413e+01°)	(4.29307208845635e+00dB,-1.79623997470929e+00°)
1.99526231496889e+02	(-2.56359564978360e+01dB,-9.19035037712945e+01°)	(4.29270770683089e+00dB,-1.88085303487956e+00°)
2.08929613085405e+02	(-2.52363552345876e+01dB,-9.19931658610670e+01°)	(4.29230986469912e+00dB,-1.96944755731159e+00°)
2.18776162394956e+02	(-2.48367898302666e+01dB,-9.20870437792192e+01°)	(4.29187300231470e+00dB,-2.06220779773512e+00°)
2.29086765276778e+02	(-2.44372688419644e+01dB,-9.21853361643125e+01°)	(4.29139473048767e+00dB,-2.15932943413876e+00°)
2.39883291901950e+02	(-2.40377927911831e+01dB,-9.22882490090069e+01°)	(4.29086949774701e+00dB,-2.26101651786574e+00°)
2.51188643150959e+02	(-2.36383677974820e+01dB,-9.23959996957666e+01°)	(4.29029478581759e+00dB,-2.36748389433250e+00°)
2.63026799189540e+02	(-2.32389980041133e+01dB,-9.25088129033064e+01°)	(4.28966377478800e+00dB,-2.47895332365051e+00°)
2.75422870333818e+02	(-2.28396886556242e+01dB,-9.26269260782773e+01°)	(4.28897228487194e+00dB,-2.59565906600466e+00°)
2.88403150312662e+02	(-2.24404455185691e+01dB,-9.27505848867064e+01°)	(4.28821472938586e+00dB,-2.71784471875777e+00°)
3.01995172040203e+02	(-2.20412760070670e+01dB,-9.28800504639162e+01°)	(4.28738378410543e+00dB,-2.84576701657465e+00°)
3.16227766016840e+02	(-2.16421859966368e+01dB,-9.30155924721150e+01°)	(4.28647262685026e+00dB,-2.97969320195111e+00°)
3.31131121482593e+02	(-2.12431823936947e+01dB,-9.31574922816870e+01°)	(4.28547393129646e+00dB,-3.11990109314750e+00°)
3.46736850452534e+02	(-2.08442758917482e+01dB,-9.33060465053373e+01°)	(4.28437916890163e+00dB,-3.26668376638572e+00°)
3.63078054770103e+02	(-2.04454747896450e+01dB,-9.34615628745255e+01°)	(4.28318051180995e+00dB,-3.42034463561417e+00°)
3.80189396320563e+02	(-2.00467879808132e+01dB,-9.36243646373058e+01°)	(4.28186469326738e+00dB,-3.58120364520898e+00°)
3.98107170553500e+02	(-1.96482279581302e+01dB,-9.37947890047579e+01°)	(4.28042418759169e+00dB,-3.74959414790160e+00°)
4.16869383470338e+02	(-1.92498069619938e+01dB,-9.39731869948858e+01°)	(4.27884319807400e+00dB,-3.92586233386932e+00°)
4.36515832240169e+02	(-1.88515358330157e+01dB,-9.41599259374886e+01°)	(4.27711126518958e+00dB,-4.11037090522345e+00°)
4.57088189614878e+02	(-1.84534314613602e+01dB,-9.43553903594962e+01°)	(4.27521351757939e+00dB,-4.30349989636564e+00°)
4.78630092322641e+02	(-1.80555099577716e+01dB,-9.45599794375927e+01°)	(4.27313301184888e+00dB,-4.50564335536997e+00°)
5.01187233627275e+02	(-1.76577871546984e+01dB,-9.47741100459152e+01°)	(4.27085321026670e+00dB,-4.71721292378505e+00°)
5.24807460249776e+02	(-1.72602825933728e+01dB,-9.49982178600374e+01°)	(4.26835649210488e+00dB,-4.93863938221611e+00°)
5.49540873857628e+02	(-1.68630173206138e+01dB,-9.52327565557717e+01°)	(4.26561749293532e+00dB,-5.17036990485805e+00°)
5.75439937337161e+02	(-1.64660132528442e+01dB,-9.54781975558998e+01°)	(4.26261838153774e+00dB,-5.41287055030211e+00°)
6.02559586074362e+02	(-1.60692965809542e+01dB,-9.57350328559560e+01°)	(4.25933081465312e+00dB,-5.66662700180648e+00°)
6.30957344480197e+02	(-1.56728931108178e+01dB,-9.60037743722395e+01°)	(4.25573020553465e+00dB,-5.93214497282585e+00°)
6.60693448007600e+02	(-1.52768337868615e+01dB,-9.62849548887448e+01°)	(4.25178616546501e+00dB,-6.20994915301354e+00°)
6.91830970918941e+02	(-1.48811503078104e+01dB,-9.65791262675761e+01°)	(4.24746413234902e+00dB,-6.50058598028009e+00°)
7.24435960074995e+02	(-1.44858785228347e+01dB,-9.68868637211590e+01°)	(4.24273056337851e+00dB,-6.80462240086727e+00°)
7.58577575029189e+02	(-1.40910565675839e+01dB,-9.72087628856157e+01°)	(4.23754650710600e+00dB,-7.12264507285732e+00°)
7.94328234724287e+02	(-1.36967270809393e+01dB,-9.75454421927204e+01°)	(4.23187012614885e+00dB,-7.45526585008576e+00°)
8.31763771102677e+02	(-1.33029361527884e+01dB,-9.78975404008927e+01°)	(4.22565370121094e+00dB,-7.80311422579520e+00°)
8.70963589956087e+02	(-1.29097341589825e+01dB,-9.82657208301088e+01°)	(4.21884875287394e+00dB,-8.16684390428202e+00°)
9.12010839355916e+02	(-1.25171769106385e+01dB,-9.86506659566490e+01°)	(4.21139773670753e+00dB,-8.54712880048469e+00°)
9.54992586021443e+02	(-1.21253212274927e+01dB,-9.90530805864546e+01°)	(4.20324429206030e+00dB,-8.94466376357265e+00°)
1.00000000000001e+03	(-1.17342338593175e+01dB,-9.94736943663130e+01°)	(4.19432035251356e+00dB,-9.36016786867868e+00°)
1.04712854805091e+03	(-1.13439860114881e+01dB,-9.99132516237880e+01°)	(4.18455766734695e+00dB,-9.79437493164991e+00°)
1.09647819614319e+03	(-1.09546541952354e+01dB,-1.00372522594338e+02°)	(4.17387801516250e+00dB,-1.02480422472351e+01°)
1.14815362149689e+03	(-1.05663202717654e+01dB,-1.00852290841142e+02°)	(4.16219778182181e+00dB,-1.07219435662058e+01°)
1.20226443461742e+03	(-1.01790761849299e+01dB,-1.01353360190894e+02°)	(4.14942688863686e+00dB,-1.12168702668248e+01°)
1.25892541179418e+03	(-9.79301958915150e+00dB,-1.01876551049667e+02°)	(4.13546811654892e+00dB,-1.17336277893138e+01°)
1.31825673855642e+03	(-9.40825684477633e+00dB,-1.02422693648156e+02°)	(4.12021232963129e+00dB,-1.22730354252989e+01°)
1.38038426460290e+03	(-9.02490281396876e+00dB,-1.02992633289124e+02°)	(4.10354746208769e+00dB,-1.28359198438627e+01°)
1.44543977074594e+03	(-8.64308112397535e+00dB,-1.03587217020196e+02°)	(4.08534803419658e+00dB,-1.34231187420953e+01°)
1.51356124843622e+03	(-8.26292555720554e+00dB,-1.04207303496306e+02°)	(4.06548032625784e+00dB,-1.40354695576067e+01°)
1.58489319246113e+03	(-7.88458081273521e+00dB,-1.04853745605156e+02°)	(4.04379960355583e+00dB,-1.46738123962127e+01°)
1.65958690743757e+03	(-7.50820159922618e+00dB,-1.05527392939800e+02°)	(4.02015192744415e+00dB,-1.53389799249896e+01°)
1.73780082874939e+03	(-7.13395328193247e+00dB,-1.06229085233215e+02°)	(3.99436978376253e+00dB,-1.60317914804241e+01°)
1.81970085861000e+03	(-6.76201403194004e+00dB,-1.06959647714229e+02°)	(3.96627524739311e+00dB,-1.67530534840864e+01°)
1.90546071796326e+03	(-6.39257376194566e+00dB,-1.07719879782705e+02°)	(3.93567817666318e+00dB,-1.75035499000971e+01°)
1.99526231496890e+03	(-6.02583611227297e+00dB,-1.08510550660620e+02°)	(3.90237649847101e+00dB,-1.82840248750053e+01°)
2.08929613085406e+03	(-5.66201444486970e+00dB,-1.09332391945864e+02°)	(3.86615255499351e+00dB,-1.90951877827808e+01°)
2.18776162394957e+03	(-5.30133920635453e+00dB,-1.10186087028676e+02°)	(3.82678007701120e+00dB,-1.99376998628942e+01°)
2.29086765276779e+03	(-4.94405019579031e+00dB,-1.11072257146415e+02°)	(3.78401615218583e+00dB,-2.08121632098039e+01°)
2.39883291901951e+03	(-4.59040172983293e+00dB,-1.11991461669051e+02°)	(3.73760592931510e+00dB,-2.17191065539974e+01°)
2.51188643150960e+03	(-4.24066075411037e+00dB,-1.12944172708754e+02°)	(3.68728345440200e+00dB,-2.26589803362387e+01°)
2.63026799189540e+03	(-3.89510306839026e+00dB,-1.13930778792226e+02°)	(3.63276960781738e+00dB,-2.36321412754333e+01°)
2.75422870333819e+03	(-3.55402088811326e+00dB,-1.14951556312260e+02°)	(3.57377603152891e+00dB,-2.46388416401846e+01°)
2.88403150312663e+03	(-3.21771333912725e+00dB,-1.16006675285934e+02°)	(3.50999970850308e+00dB,-2.56792173584627e+01°)
3.01995172040204e+03	(-2.88648644471833e+00dB,-1.17096168600412e+02°)	(3.44113430464652e+00dB,-2.67532742656345e+01°)
