Freq.	V(i_sns)	V(v_sns)
1.00000000000000e+01	(-5.97393475529909e+01dB,-9.01235085867744e+01°)	(4.29686661270877e+00dB,-1.22808981887333e-01°)
1.04712854805090e+01	(-5.93393494471237e+01dB,-9.01293293559679e+01°)	(4.29686471747089e+00dB,-1.28596779704550e-01°)
1.09647819614319e+01	(-5.89393512193211e+01dB,-9.01354245699502e+01°)	(4.29686294406165e+00dB,-1.34657468415544e-01°)
1.14815362149688e+01	(-5.85393534771825e+01dB,-9.01418066772774e+01°)	(4.29686068487164e+00dB,-1.41003423343162e-01°)
1.20226443461741e+01	(-5.81393558447761e+01dB,-9.01484899160375e+01°)	(4.29685831582125e+00dB,-1.47648805890833e-01°)
1.25892541179417e+01	(-5.77393583415818e+01dB,-9.01554880750141e+01°)	(4.29685581741821e+00dB,-1.54607324543706e-01°)
1.31825673855641e+01	(-5.73393612868448e+01dB,-9.01628159809130e+01°)	(4.29685287040387e+00dB,-1.61893721924364e-01°)
1.38038426460289e+01	(-5.69393643091956e+01dB,-9.01704890493647e+01°)	(4.29684984613282e+00dB,-1.69523325617845e-01°)
1.44543977074593e+01	(-5.65393677316104e+01dB,-9.01785240983132e+01°)	(4.29684642161260e+00dB,-1.77512861372480e-01°)
1.51356124843621e+01	(-5.61393715823775e+01dB,-9.01869375169693e+01°)	(4.29684256853706e+00dB,-1.85878621858499e-01°)
1.58489319246111e+01	(-5.57393756959603e+01dB,-9.01957474075862e+01°)	(4.29683845242308e+00dB,-1.94638608239102e-01°)
1.65958690743756e+01	(-5.53393801084231e+01dB,-9.02049727901203e+01°)	(4.29683403718514e+00dB,-2.03811734615852e-01°)
1.73780082874938e+01	(-5.49393851535354e+01dB,-9.02146326499222e+01°)	(4.29682898903006e+00dB,-2.13416875495376e-01°)
1.81970085860999e+01	(-5.45393905772883e+01dB,-9.02247479415595e+01°)	(4.29682356194105e+00dB,-2.23474869378145e-01°)
1.90546071796325e+01	(-5.41393966226130e+01dB,-9.02353398848921e+01°)	(4.29681751295859e+00dB,-2.34006814585663e-01°)
1.99526231496888e+01	(-5.37394031430110e+01dB,-9.02464309955531e+01°)	(4.29681098855014e+00dB,-2.45035099485612e-01°)
2.08929613085404e+01	(-5.33394101937646e+01dB,-9.02580446971539e+01°)	(4.29680393339956e+00dB,-2.56583014424338e-01°)
2.18776162394956e+01	(-5.29394181312559e+01dB,-9.02702055152793e+01°)	(4.29679599108741e+00dB,-2.68674945442557e-01°)
2.29086765276778e+01	(-5.25394265296097e+01dB,-9.02829404488906e+01°)	(4.29678758744810e+00dB,-2.81337745379574e-01°)
2.39883291901949e+01	(-5.21394360528671e+01dB,-9.02962744752993e+01°)	(4.29677805839581e+00dB,-2.94596238538270e-01°)
2.51188643150958e+01	(-5.17394463865244e+01dB,-9.03102372485466e+01°)	(4.29676771838507e+00dB,-3.08479918740014e-01°)
